x,y,pressures
0,7,6
0,8,8
0,9,8
0,10,7
0,11,6
0,12,5
0,13,6
0,14,6
0,15,5
0,16,6
0,17,6
0,18,6
0,19,6
0,20,6
0,21,5
0,22,6
0,23,7
0,25,4
0,26,3
0,30,5
0,31,6
0,32,6
0,33,6
0,34,6
0,35,6
0,36,6
0,38,6
0,40,6
0,41,5
0,42,5
0,50,2
0,51,4
0,53,2
0,54,3
0,55,3
0,56,3
0,58,3
0,59,4
0,60,4
0,61,2
0,63,4
0,65,2
0,66,5
0,74,4
0,76,6
0,77,5
0,91,6
0,92,7
0,93,6
0,94,4
0,95,4
0,96,4
0,97,5
0,100,7
0,102,7
0,106,5
0,110,3
0,113,8
0,115,6
0,117,6
0,118,2
0,120,1
0,121,6
0,122,5
0,123,8
0,125,3
0,126,3
0,127,3
1,7,7
1,8,7
1,9,8
1,10,7
1,11,6
1,13,6
1,14,6
1,15,6
1,16,6
1,18,5
1,19,5
1,20,6
1,21,6
1,22,7
1,23,7
1,25,6
1,27,4
1,28,3
1,29,4
1,30,5
1,31,5
1,32,7
1,33,6
1,34,6
1,35,5
1,36,4
1,38,5
1,39,6
1,40,6
1,41,6
1,43,5
1,45,5
1,50,3
1,51,4
1,52,2
1,53,3
1,54,5
1,55,6
1,56,6
1,57,5
1,58,3
1,59,5
1,60,3
1,61,3
1,63,2
1,66,4
1,68,4
1,74,5
1,77,7
1,83,4
1,91,4
1,92,4
1,93,4
1,95,4
1,96,4
1,97,5
1,98,4
1,102,9
1,104,5
1,105,6
1,106,5
1,107,6
1,108,6
1,111,9
1,112,8
1,113,6
1,114,6
1,116,6
1,117,7
1,120,3
1,122,8
1,123,7
1,126,3
1,127,3
2,6,6
2,7,7
2,8,7
2,9,8
2,10,7
2,11,7
2,12,6
2,13,6
2,14,6
2,15,6
2,16,6
2,17,6
2,20,6
2,21,7
2,22,7
2,23,6
2,24,6
2,25,6
2,27,3
2,28,3
2,29,5
2,30,5
2,31,4
2,32,5
2,33,5
2,34,6
2,36,3
2,37,3
2,38,5
2,40,3
2,41,5
2,42,5
2,44,5
2,51,6
2,52,5
2,53,5
2,54,5
2,55,4
2,58,4
2,59,6
2,60,5
2,62,4
2,63,4
2,64,5
2,65,2
2,66,3
2,67,4
2,68,3
2,76,4
2,77,4
2,81,6
2,90,7
2,92,6
2,93,3
2,100,3
2,108,2
2,109,5
2,110,2
2,112,7
2,113,6
2,115,5
2,116,7
2,117,5
2,118,4
2,121,6
2,123,4
2,124,5
2,126,3
3,7,7
3,8,7
3,9,8
3,10,7
3,12,6
3,13,6
3,14,5
3,18,6
3,19,6
3,20,6
3,21,7
3,22,7
3,23,5
3,24,6
3,25,6
3,26,6
3,28,5
3,30,5
3,32,5
3,34,5
3,35,4
3,36,3
3,37,3
3,38,6
3,39,6
3,40,5
3,41,5
3,44,3
3,45,5
3,47,3
3,49,5
3,51,7
3,53,4
3,54,4
3,55,4
3,56,4
3,60,4
3,61,4
3,63,3
3,66,4
3,67,4
3,68,3
3,69,3
3,74,4
3,78,6
3,80,6
3,83,4
3,84,5
3,85,4
3,91,5
3,93,4
3,94,6
3,95,6
3,103,7
3,108,5
3,111,4
3,112,5
3,113,8
3,114,6
3,115,6
3,116,6
3,117,6
3,118,6
3,122,6
3,123,8
3,125,4
3,126,4
4,7,7
4,8,7
4,9,6
4,11,4
4,12,6
4,13,6
4,14,5
4,15,5
4,16,6
4,18,6
4,19,6
4,20,6
4,21,6
4,22,7
4,23,5
4,24,5
4,26,6
4,27,6
4,28,3
4,30,5
4,31,4
4,35,7
4,36,6
4,39,5
4,44,3
4,48,3
4,50,4
4,52,4
4,54,5
4,55,6
4,56,5
4,57,6
4,58,3
4,59,6
4,61,2
4,64,5
4,68,4
4,72,4
4,73,3
4,78,6
4,79,5
4,84,4
4,91,4
4,97,3
4,100,3
4,102,3
4,109,4
4,112,5
4,113,5
4,114,7
4,116,7
4,118,3
4,119,4
4,120,4
4,122,7
4,123,5
4,124,3
4,125,2
5,4,6
5,6,7
5,7,7
5,8,7
5,9,7
5,11,7
5,14,6
5,15,5
5,16,5
5,17,5
5,18,6
5,19,6
5,20,6
5,21,5
5,22,4
5,23,5
5,24,5
5,25,5
5,26,6
5,27,6
5,28,4
5,31,6
5,32,5
5,34,3
5,35,4
5,37,5
5,38,5
5,50,4
5,51,3
5,54,5
5,55,3
5,56,5
5,61,5
5,62,3
5,68,6
5,71,5
5,72,3
5,74,3
5,77,4
5,78,5
5,79,4
5,83,4
5,90,4
5,91,6
5,92,4
5,94,5
5,95,5
5,97,4
5,98,4
5,100,6
5,104,4
5,110,2
5,111,3
5,112,4
5,113,4
5,115,5
5,117,4
5,118,6
5,121,3
5,122,4
5,124,4
5,127,2
6,3,7
6,4,7
6,5,7
6,6,7
6,7,7
6,8,7
6,9,7
6,12,7
6,13,8
6,14,7
6,15,4
6,16,6
6,17,6
6,18,6
6,19,6
6,20,6
6,21,5
6,22,6
6,23,5
6,24,5
6,25,5
6,26,6
6,27,6
6,28,7
6,30,6
6,31,5
6,34,5
6,35,3
6,37,6
6,48,2
6,52,4
6,53,2
6,55,4
6,56,3
6,57,3
6,68,2
6,69,2
6,71,4
6,83,4
6,89,6
6,90,7
6,91,6
6,93,6
6,96,4
6,97,3
6,99,4
6,101,4
6,104,4
6,113,4
6,114,6
6,118,4
6,124,3
6,127,3
7,4,6
7,5,7
7,6,7
7,7,7
7,8,7
7,9,6
7,10,7
7,11,7
7,12,7
7,13,7
7,14,7
7,15,6
7,16,5
7,17,6
7,18,6
7,19,6
7,20,5
7,21,5
7,22,5
7,23,5
7,24,5
7,25,5
7,29,5
7,30,6
7,33,3
7,35,5
7,39,4
7,40,2
7,48,2
7,49,4
7,51,2
7,52,5
7,53,4
7,54,5
7,55,4
7,57,3
7,68,3
7,69,6
7,71,4
7,72,4
7,76,4
7,78,5
7,79,5
7,80,6
7,81,5
7,82,4
7,84,5
7,90,5
7,91,3
7,99,5
7,100,5
7,103,4
7,104,6
7,113,3
7,119,5
7,121,3
7,122,3
7,127,3
8,0,7
8,1,7
8,2,7
8,3,7
8,4,7
8,5,6
8,6,7
8,8,7
8,9,7
8,10,5
8,12,7
8,13,8
8,14,5
8,15,6
8,16,6
8,17,6
8,18,6
8,19,6
8,20,5
8,21,5
8,23,5
8,24,5
8,25,5
8,26,4
8,27,5
8,28,5
8,29,4
8,31,4
8,32,5
8,33,4
8,35,5
8,38,4
8,39,5
8,40,5
8,46,4
8,47,4
8,48,4
8,49,4
8,50,3
8,51,5
8,54,5
8,57,3
8,74,5
8,76,3
8,91,6
8,93,4
8,95,3
8,99,6
8,100,5
8,101,6
8,118,4
8,124,3
8,125,3
8,126,5
8,127,4
9,0,8
9,2,8
9,3,8
9,4,7
9,5,7
9,6,6
9,7,7
9,8,7
9,10,7
9,11,7
9,13,7
9,14,7
9,15,5
9,16,6
9,17,6
9,18,6
9,19,6
9,20,5
9,21,5
9,23,5
9,24,3
9,25,5
9,27,5
9,28,4
9,29,3
9,34,4
9,35,3
9,38,4
9,40,5
9,41,5
9,42,5
9,43,4
9,45,3
9,49,3
9,50,5
9,51,5
9,52,5
9,53,3
9,68,3
9,74,4
9,76,4
9,79,5
9,80,6
9,88,5
9,90,3
9,91,3
9,95,4
9,96,3
9,97,3
9,99,9
9,102,3
9,117,5
9,118,3
9,120,3
9,123,4
9,124,7
9,127,4
10,2,8
10,3,8
10,4,7
10,5,7
10,6,7
10,7,6
10,8,7
10,9,6
10,10,7
10,11,6
10,13,7
10,14,8
10,15,5
10,16,6
10,17,6
10,19,6
10,20,5
10,21,4
10,25,5
10,26,6
10,27,6
10,29,6
10,31,4
10,34,3
10,35,4
10,39,5
10,40,5
10,42,6
10,43,7
10,44,5
10,46,4
10,47,6
10,48,6
10,49,6
10,50,6
10,51,6
